UF,UF,MUNICÍPIO,CNPJ,FARMÁCIA,ENDEREÇO,BAIRRO,Data do Credenciamento
AC,1200013,ACRELANDIA,26.124.718/0001-83,FARMACIA DO TRABALHADOR DE ACRELANDIA LTDA," AVENIDA GERALDO BARBOSA, N° 506  ",CENTRO,29/09/2023
AC,1200104,BRASILEIA,04.521.258/0007-80,J CRUZ LTDA," AV MANOEL MARINHO MONTE, N°1136",TRES BOTEQUINS,11/08/2023
AC,1200104,BRASILEIA,06.626.253/0456-86,EMPREENDIMENTOS PAGUE MENOS S/A, DOUTOR MANOEL MARINHO MONTE 801 ,BOTEQUINS,06/11/2013
AC,1200203,CRUZEIRO DO SUL,06.011.700/0001-68,H. R. LIMA, CEL. MANCIO LIMA  ,CENTRO,12/06/2015
AC,1200203,CRUZEIRO DO SUL,06.626.253/0522-08,EMPREENDIMENTOS PAGUE MENOS S/A," Avenida CORONEL MANCIO LIMA, 421  ",BAIXA,06/11/2013
AC,1200252,EPITACIOLANDIA,04.508.370/0001-95,BEATRIZ BARROSO SAADY," AVENIDA SANTOS DUMONT, 295   ",CENTRO,03/03/2015
AC,1200252,EPITACIOLANDIA,04.521.258/0028-04,J CRUZ LTDA," AV SANTOS DUMONT, N°315",CENTRO,11/08/2023
AC,1200252,EPITACIOLANDIA,14.351.621/0001-24,MARIA DA SILVA FREITAS, SANTOS DUMONT  ,CENTRO,11/08/2023
AC,1200302,FEIJO,03.608.877/0001-58,R V N FELICIO, AVENIDA MARECHAL DEODORO 780  ,CENTRO,05/05/2014
AC,1200385,PLACIDO DE CASTRO,04.509.006/0001-40,SERGIO CARLOS VIEIRA, EPITACIO PESSOA 500 ,CENTRO,05/05/2014
AC,1200401,RIO BRANCO,04.521.258/0001-94,J CRUZ LTDA," AV CEARA, Nº952  ",CERAMICA,17/12/2013
AC,1200401,RIO BRANCO,04.521.258/0003-56,J CRUZ LTDA," RUA 06 DE AGOSTO, 209   ",SEIS DE AGOSTO,01/04/2015
AC,1200401,RIO BRANCO,06.626.253/0314-64,EMPREENDIMENTOS PAGUE MENOS S/A," AVENIDA BRASIL, Nº 71  ",CENTRO,11/09/2009
AC,1200401,RIO BRANCO,06.626.253/0401-02,EMPREENDIMENTOS PAGUE MENOS S/A," AVENIDA NACOES UNIDAS, 2890  ",ESTACAO EXPERIMENTAL,18/02/2013
AC,1200401,RIO BRANCO,06.626.253/0488-63,EMPREENDIMENTOS PAGUE MENOS S/A," Rua QUINTINO BOCAIUVA, 1514  ",BOSQUE,06/11/2013
AC,1200427,RODRIGUES ALVES,47.928.373/0001-90,DROGARIA MINHA SAUDE LTDA, PRESIDENTE JUSCELINO  ,CENTRO,27/11/2023
AC,1200500,SENA MADUREIRA,04.521.258/0030-29,J CRUZ LTDA," RUA SIQUEIRA CAMPOS, N°85",CENTRO,27/11/2023
AC,1200500,SENA MADUREIRA,51.163.563/0001-31,E. J. DA SILVA DE ARAUJO LTDA," AVENIDA BRASIL, N° 151, SALA 03  ",CENTRO,29/09/2023
AC,1200450,SENADOR GUIOMARD,14.331.193/0001-78,AURELIO ALVES DE LIMA," AVENIDA SENADOR EDUARDO ASSMAR,  S/N   ",COHAB,15/04/2015
AL,2700102,AGUA BRANCA,08.529.011/0001-75,EDLA ALESSANDRA BORGES MACHADO DE OLIVEIRA," RUA SÃO BENTO, N° 19  ",CENTRO,22/11/2013
AL,2700201,ANADIA,16.692.260/0001-05,MOREIRA & CORREIA FARMACIA LTDA, POVOADO TABULEIRO GRANDE SN ,POVOADO,31/12/2013
AL,2700201,ANADIA,16.780.567/0001-68,FARMACIA POPULAR DE ANADIA LTDA," CENTRO PAULO BENTO, 30 - CENTRO  ",CENTRO,01/08/2013
